Designator,Footprint,Quantity,Value,LCSC Part #
"BATT_CONNECT1, BATT_CONNECT2, J3",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
"BOOT_R1, EN_P1",SW_PUSH_6mm,2,SW_Push,
"BOOT_R2, EN_R1",0805,2,10kΩ,
"C1, C2",0805,2,5.1kΩ,
"CAM_SIOC_R1, CAM_SIOD_R1",0805,2,4.7kΩ,
"D1, D2",D_SMA,2,D_Schottky,
ENTIMING1,0805,1,1µF,
IC1,ESP32S3WROOM1N16R8,1,ESP32-S3-WROOM-1-N16R8,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J4,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24,
"LASERHEADER1, PANSERVO1, TILTSERVO1",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
MODULEFAST1,0805,1,100nF,
"MODULEOUTPUT1, REGULATOROUTPUT1",0805,2,22µF,
REGULATOR1,SOT-223-3_TabPin2,1,AMS1117-3.3,
REGULATORINPUT1,0805,1,10µF,
R_PROG1,0805,1,2.4kΩ,
SERVO/LASERBULK1,CP_Radial_D6.3mm_P2.50mm,1,470µF,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,1,TP4056-42-ESOP8,
U3,SOT-23-6,1,USBLC6-2SC6,
